strategy,param_name,param_value,return_mean,sharpe_mean,trades_mean,win_rate_mean,excess_return_mean,n,excess_return_median,excess_return_std,neg_excess_return_rate,return_median,return_std,neg_return_rate,flag_underperforming
DMAC,param_adx_period,30.0,-0.12916659055238106,-26.883941607852503,2.0108024691358026,0.1954185376775246,-37.22123807398565,648,-8.68494993015718,66.43013753334583,0.8796296296296297,0.0,2.224336180055108,0.32098765432098764,False
RSI_MA,param_buy_rsi,20.0,0.009884384222500155,-62.45293515179777,0.2962962962962963,0.11130401234567902,-37.08218709921078,432,-8.68494993015718,66.40666372103514,0.8888888888888888,0.0,0.339570118258032,0.05555555555555555,False
RSI_MA,param_ma,20.0,0.16725198516843404,-13.625290384725387,6.137037037037037,0.15144412235908358,-36.92481949826484,540,-8.68494993015718,66.1193071570875,0.8888888888888888,0.0,2.5989332459843553,0.08518518518518518,False
RSI_MA,param_buy_rsi,30.0,0.4317692087556217,-52.243076818960695,2.9560185185185186,0.37081306682001125,-36.66030227467765,432,-8.474803431552695,66.18234789505262,0.8888888888888888,0.0,2.1294597743244132,0.18287037037037038,False
RSI_MA,param_sell_rsi,35.0,0.8668065458937269,-72.53078867410281,23.944444444444443,0.4040434384952651,-36.22526493753954,540,-8.373747893079447,65.54841089496351,0.8870370370370371,0.0,3.3939730098580574,0.18888888888888888,False
RSI_MA,param_ma,50.0,0.8923472428893158,-67.53765447921987,13.872222222222222,0.369853529531788,-36.19972424054396,540,-8.514716572137885,65.793709385902,0.8814814814814815,0.0,3.2842931075463926,0.18518518518518517,False
RSI_MA,param_buy_rsi,35.0,0.9011976392995686,-74.99793314931088,6.611111111111111,0.45627025850798547,-36.190873844133705,432,-8.640585228649618,65.5491543376448,0.8888888888888888,0.0,3.2765147435823803,0.23148148148148148,False
RSI_MA,param_sell_rsi,40.0,1.0308648357767338,-62.20038735097777,21.072222222222223,0.42394760617458993,-36.06120664765654,540,-8.375551919973933,65.56999952354316,0.8870370370370371,0.0,3.53174803500424,0.17777777777777778,False
RSI_MA,param_sell_rsi,75.0,1.3267891547398833,-34.2403545588988,11.074074074074074,0.36226046020151065,-35.76528232869339,540,-8.537603694214507,64.67863283986777,0.8833333333333333,0.0,5.309466476514237,0.20925925925925926,False
RSI_MA,param_buy_rsi,40.0,1.3803370857641974,-41.481689713077785,15.296296296296296,0.491177656772869,-35.711734397669076,432,-8.68494993015718,64.80592150567388,0.8958333333333334,0.11111565773987878,4.569856751289834,0.20601851851851852,False
RSI_MA,param_sell_rsi,50.0,1.4796097695932373,-40.37381326728889,14.164814814814815,0.4283370196381043,-35.612461713840034,540,-8.601292736711478,65.15984394419458,0.8833333333333333,0.0,4.876383169325189,0.1814814814814815,False
RSI_MA,param_ma,100.0,1.5704692246768686,-59.384122015806206,22.57962962962963,0.5386738120440847,-35.5216022587564,540,-8.357211902636497,64.94174215095398,0.8833333333333333,0.14089796276967378,5.007000921870839,0.24259259259259258,False
RSI_MA,param_ma,200.0,2.074001853268963,-68.7982769715168,27.666666666666668,0.5586170605745135,-35.018069630164305,540,-8.216858123839252,64.07271739164416,0.8870370370370371,0.34880597361230914,5.6141690917188365,0.24444444444444444,False
DMAC,param_pslow,100.0,2.5398626629118137,-22.15844450346833,4.896604938271605,0.2923301571027201,-34.55220882052146,648,-8.68494993015718,63.65412507018132,0.8564814814814815,0.0,10.224467658443132,0.2932098765432099,False
DMAC,param_pfast,5.0,2.838731107137543,-24.936826657166662,8.623456790123457,0.26482187356646164,-34.25334037629573,486,-8.817847217564807,62.82023163945678,0.8641975308641975,0.0,10.555059591025957,0.3786008230452675,False
DMAC,param_adx_threshold,25.0,2.9701796966134126,-24.642208369599146,5.289094650205762,0.31668281877633525,-34.12189178681986,972,-8.55049946177304,62.92006050923524,0.8641975308641975,0.0,10.640465020708675,0.3045267489711934,False
RSI_MA,param_buy_rsi,50.0,3.156899564462589,-30.50604498093819,62.65972222222222,0.5936706611902927,-33.93517191897068,432,-7.065099496193856,63.23912385287417,0.8634259259259259,0.8518422390702994,7.283454765478883,0.2708333333333333,False
DMAC,param_pfast,10.0,3.161174329929135,-26.157936087863142,6.872427983539095,0.2828816519969571,-33.930897153504134,486,-8.68494993015718,62.12555756356977,0.8621399176954733,0.0,10.749928661346669,0.36213991769547327,False
DMAC,param_pslow,30.0,3.191187456722572,-27.20654368350984,11.125,0.4429731355364401,-33.9008840267107,648,-8.109481308876827,62.82836709158803,0.8672839506172839,0.21125522241584915,9.01324836020126,0.3888888888888889,False
DMAC,param_pfast,50.0,3.5372737966018124,-19.264884881868145,4.351851851851852,0.4348404498685907,-33.55479768683146,486,-8.006561187093281,64.13469799505408,0.8580246913580247,0.28383912107575504,10.597366992685629,0.24074074074074073,False
DMAC,param_adx_threshold,20.0,3.687483151324289,-20.59797096774715,7.7026748971193415,0.3416167760502376,-33.404588332108986,972,-8.68494993015718,62.119646469326405,0.8569958847736625,0.280659094338904,11.545059121979497,0.3343621399176955,False
DMAC,param_pfast,20.0,3.7781464622069127,-20.12071104779464,6.135802469135802,0.3340552142211361,-33.31392502122636,486,-8.68494993015718,61.093887755555635,0.8580246913580247,0.22641396271864664,12.419761910234705,0.2962962962962963,False
DMAC,param_adx_period,14.0,4.249708937575872,-27.1683877327987,6.0015432098765435,0.40025328800313786,-32.8423625458574,648,-8.41202401774333,61.75148812056129,0.845679012345679,0.6906006196335965,12.933892311463515,0.37191358024691357,False
DMAC,param_pslow,200.0,4.255444152272167,-18.495280819041273,3.4660493827160495,0.2521460996006991,-32.836627331161104,648,-8.92916358568206,61.092970913870055,0.8580246913580247,0.04279480949883237,13.529896053931836,0.2762345679012346,False
DMAC,param_adx_period,7.0,5.865951924883062,-13.807939665368243,11.475308641975309,0.3917775665591968,-31.22611955855021,648,-8.444187032689866,59.05609914890702,0.8564814814814815,1.6841373107594335,13.372848983107026,0.2654320987654321,False
